epoch,step,testBinaryAccuracy_epoch,testBinaryAccuracy_step,test_loss_epoch,test_loss_step,trainBinaryAccuracy_epoch,trainBinaryAccuracy_step,train_loss_epoch,train_loss_step
0,49,,,,,,1.0,,0.021137766540050507
0,99,,,,,,1.0,,0.007500872947275639
0,149,,,,,,1.0,,0.007884056307375431
0,199,,,,,,1.0,,0.0027432814240455627
0,249,,,,,,1.0,,0.0030456073582172394
0,249,,,,,0.9887499809265137,,0.04315276816487312,
1,299,,,,,,1.0,,0.0011280219769105315
1,349,,,,,,1.0,,0.000939511985052377
1,399,,,,,,1.0,,0.00017688213847577572
1,449,,,,,,1.0,,0.0004385600332170725
1,499,,,,,,1.0,,0.00030575707205571234
1,499,,,,,1.0,,0.0008305519004352391,
2,549,,,,,,1.0,,0.00013597789802588522
2,599,,,,,,1.0,,0.0001867939718067646
2,649,,,,,,1.0,,9.89571344689466e-05
2,699,,,,,,1.0,,4.2059986299136654e-05
2,749,,,,,,1.0,,3.3579264709260315e-05
2,749,,,,,1.0,,0.00013237034727353603,
3,799,,,,,,1.0,,5.152684752829373e-05
3,849,,,,,,1.0,,2.874089295801241e-05
3,899,,,,,,1.0,,3.121068584732711e-05
3,949,,,,,,1.0,,1.0019132787419949e-05
3,999,,,,,,1.0,,1.5593088392051868e-05
3,999,,,,,1.0,,2.85563655779697e-05,
4,1049,,,,,,1.0,,1.2812746717827395e-05
4,1099,,,,,,1.0,,1.0316766747564543e-06
4,1149,,,,,,1.0,,2.8405106604623143e-06
4,1199,,,,,,1.0,,5.600649456027895e-05
4,1249,,,,,,1.0,,2.212363324360922e-05
4,1249,,,,,1.0,,4.551437450572848e-05,
,0,,1.0,,0.0008002857794053853,,,,
,1,,0.98828125,,0.028282448649406433,,,,
,2,,0.99609375,,0.013843398541212082,,,,
,3,,1.0,,0.0014115439262241125,,,,
,4,,0.99609375,,0.005139535758644342,,,,
,5,,0.9921875,,0.04850326105952263,,,,
,6,,0.9921875,,0.019816095009446144,,,,
,7,,1.0,,3.3153472031699494e-05,,,,
5,1250,0.9955000281333923,,0.015081407502293587,,,,,
