epoch,loss_epoch,loss_step,step
0,,0.33409106731414795,49
0,,0.14268898963928223,99
0,0.56575608253479,,99
1,,0.1074068546295166,149
1,,0.08914947509765625,199
1,0.13510970771312714,,199
2,,0.17148172855377197,249
2,,0.14195501804351807,299
2,0.12510018050670624,,299
3,,0.11114025115966797,349
3,,0.08698475360870361,399
3,0.11236752569675446,,399
4,,0.07037913799285889,449
4,,0.09940457344055176,499
4,0.10916901379823685,,499
5,,0.12238025665283203,549
5,,0.07271242141723633,599
5,0.11554830521345139,,599
6,,0.09881877899169922,649
6,,0.06044197082519531,699
6,0.11052549630403519,,699
7,,0.07971394062042236,749
7,,0.07381296157836914,799
7,0.12471574544906616,,799
8,,0.1783360242843628,849
8,,0.07401597499847412,899
8,0.09640021622180939,,899
9,,0.10145580768585205,949
9,,0.09026193618774414,999
9,0.10315296053886414,,999
10,,0.0988156795501709,1049
10,,0.1174924373626709,1099
10,0.09305085986852646,,1099
11,,0.08785128593444824,1149
11,,0.13526201248168945,1199
11,0.10226134955883026,,1199
12,,0.10834825038909912,1249
12,,0.0475311279296875,1299
12,0.09732978045940399,,1299
13,,0.06711900234222412,1349
13,,0.09965956211090088,1399
13,0.08958439528942108,,1399
14,,0.10739970207214355,1449
14,,0.05199742317199707,1499
14,0.09702492505311966,,1499
15,,0.08257079124450684,1549
15,,0.07090437412261963,1599
15,0.08409632742404938,,1599
16,,0.059738874435424805,1649
16,,0.12783324718475342,1699
16,0.0798080712556839,,1699
17,,0.17076468467712402,1749
17,,0.06898200511932373,1799
17,0.08234947174787521,,1799
18,,0.09046792984008789,1849
18,,0.08164465427398682,1899
18,0.08622513711452484,,1899
19,,0.10281741619110107,1949
19,,0.07200026512145996,1999
19,0.0830749124288559,,1999
20,,0.07118892669677734,2049
20,,0.06943953037261963,2099
20,0.08803456276655197,,2099
21,,0.06287682056427002,2149
21,,0.07261538505554199,2199
21,0.09065281599760056,,2199
22,,0.06875598430633545,2249
22,,0.06041598320007324,2299
22,0.09381039440631866,,2299
23,,0.09346020221710205,2349
23,,0.12668097019195557,2399
23,0.08790677040815353,,2399
24,,0.09862375259399414,2449
24,,0.08093535900115967,2499
24,0.08879172056913376,,2499
25,,0.14511942863464355,2549
25,,0.07645463943481445,2599
25,0.0817762166261673,,2599
26,,0.08575177192687988,2649
26,,0.044535040855407715,2699
26,0.08526604622602463,,2699
27,,0.07830548286437988,2749
27,,0.08596312999725342,2799
27,0.08278826624155045,,2799
28,,0.09756314754486084,2849
28,,0.1095205545425415,2899
28,0.0806182324886322,,2899
29,,0.10625410079956055,2949
29,,0.11745321750640869,2999
29,0.09267215430736542,,2999
30,,0.059903621673583984,3049
30,,0.09053456783294678,3099
30,0.07860423624515533,,3099
31,,0.11949443817138672,3149
31,,0.13721096515655518,3199
31,0.07638433575630188,,3199
32,,0.05003476142883301,3249
32,,0.08743000030517578,3299
32,0.08548930287361145,,3299
33,,0.05225956439971924,3349
33,,0.04184746742248535,3399
33,0.07974186539649963,,3399
34,,0.06124556064605713,3449
34,,0.08007824420928955,3499
34,0.07501763850450516,,3499
35,,0.04756176471710205,3549
35,,0.09286761283874512,3599
35,0.07770557701587677,,3599
36,,0.09462594985961914,3649
36,,0.10056281089782715,3699
36,0.07968085259199142,,3699
37,,0.12249338626861572,3749
37,,0.09916305541992188,3799
37,0.07484591752290726,,3799
38,,0.06098341941833496,3849
38,,0.045775771141052246,3899
38,0.08172982186079025,,3899
39,,0.07726943492889404,3949
39,,0.04617774486541748,3999
39,0.07408871501684189,,3999
40,,0.16465365886688232,4049
40,,0.07749593257904053,4099
40,0.08022143691778183,,4099
41,,0.07732582092285156,4149
41,,0.056247711181640625,4199
41,0.08308015018701553,,4199
42,,0.050469398498535156,4249
42,,0.08575165271759033,4299
42,0.06937231123447418,,4299
43,,0.07553291320800781,4349
43,,0.1127769947052002,4399
43,0.07307294011116028,,4399
44,,0.0662757158279419,4449
44,,0.08466196060180664,4499
44,0.07375506311655045,,4499
45,,0.06673574447631836,4549
45,,0.08285343647003174,4599
45,0.07428303360939026,,4599
46,,0.05354189872741699,4649
46,,0.1102592945098877,4699
46,0.06953713297843933,,4699
47,,0.055153489112854004,4749
47,,0.04273664951324463,4799
47,0.06904156506061554,,4799
48,,0.06182444095611572,4849
48,,0.05478942394256592,4899
48,0.07365473359823227,,4899
49,,0.06256294250488281,4949
49,,0.08431363105773926,4999
49,0.07549605518579483,,4999
50,,0.06227719783782959,5049
50,,0.05565023422241211,5099
50,0.0758560448884964,,5099
51,,0.03165626525878906,5149
51,,0.036734700202941895,5199
51,0.06672853231430054,,5199
52,,0.04119431972503662,5249
52,,0.042149901390075684,5299
52,0.07277953624725342,,5299
53,,0.10900998115539551,5349
