epoch,loss_epoch,loss_step,step
0,,2.2008628845214844,49
0,,1.5101613998413086,99
0,4.39234733581543,,99
1,,1.7239136695861816,149
1,,1.1568528413772583,199
1,1.3867319822311401,,199
2,,1.6464242935180664,249
2,,1.309279203414917,299
2,1.2892383337020874,,299
3,,1.5352216958999634,349
3,,1.8457081317901611,399
3,1.3213143348693848,,399
4,,0.46004223823547363,449
4,,0.5415716171264648,499
4,0.7354247570037842,,499
5,,0.38318419456481934,549
5,,0.3272970914840698,599
5,0.5449402332305908,,599
6,,1.101463794708252,649
6,,0.5616977214813232,699
6,0.5403534173965454,,699
7,,0.5605164766311646,749
7,,0.4649714231491089,799
7,0.7378892302513123,,799
8,,0.35375165939331055,849
8,,0.2565653324127197,899
8,0.4823227822780609,,899
9,,0.4727591276168823,949
9,,0.3948277235031128,999
9,0.46301770210266113,,999
10,,0.2776836156845093,1049
10,,0.2953759431838989,1099
10,0.5217843651771545,,1099
11,,0.4049816131591797,1149
11,,0.3627105951309204,1199
11,0.6420705914497375,,1199
12,,0.5986592769622803,1249
12,,0.5703874826431274,1299
12,0.5836165547370911,,1299
13,,0.18127167224884033,1349
13,,0.2446664571762085,1399
13,0.34546878933906555,,1399
14,,1.215482234954834,1449
14,,0.3464210033416748,1499
14,0.45729437470436096,,1499
