epoch,step,testBinaryAccuracy_epoch,testBinaryAccuracy_step,test_loss_epoch,test_loss_step,trainBinaryAccuracy_epoch,trainBinaryAccuracy_step,train_loss_epoch,train_loss_step
0,49,,,,,,1.0,,0.04095078632235527
0,99,,,,,,1.0,,0.008078426122665405
0,149,,,,,,1.0,,0.0042554233223199844
0,199,,,,,,1.0,,0.0035207592882215977
0,249,,,,,,1.0,,0.003839945187792182
0,249,,,,,0.9893749952316284,,0.04333246871829033,
1,299,,,,,,1.0,,0.0017527493182569742
1,349,,,,,,1.0,,0.0012730248272418976
1,399,,,,,,1.0,,0.0011703305644914508
1,449,,,,,,1.0,,0.00025754637317731977
1,499,,,,,,1.0,,7.665193697903305e-05
1,499,,,,,0.999875009059906,,0.0010704973246902227,
2,549,,,,,,1.0,,0.00023842790687922388
2,599,,,,,,1.0,,7.484308298444375e-05
2,649,,,,,,1.0,,8.506101585226133e-05
2,699,,,,,,1.0,,6.053292236174457e-05
2,749,,,,,,1.0,,4.283923772163689e-05
2,749,,,,,1.0,,0.00014078048116061836,
3,799,,,,,,1.0,,1.5963523765094578e-05
3,849,,,,,,1.0,,2.5626746719353832e-05
3,899,,,,,,1.0,,2.8698210371658206e-05
3,949,,,,,,1.0,,1.3829045201418921e-05
3,999,,,,,,1.0,,1.6152958778548054e-05
3,999,,,,,1.0,,2.8347709303488955e-05,
4,1049,,,,,,1.0,,6.929265055077849e-06
4,1099,,,,,,1.0,,1.0124257642019074e-05
4,1149,,,,,,1.0,,6.788100108678918e-06
4,1199,,,,,,1.0,,3.1462529932468897e-06
4,1249,,,,,,1.0,,1.5430097164426115e-06
4,1249,,,,,1.0,,6.348673196043819e-06,
,0,,0.98828125,,0.08205695450305939,,,,
,1,,0.9921875,,0.020390743389725685,,,,
,2,,0.9921875,,0.025813043117523193,,,,
,3,,0.9921875,,0.015492916107177734,,,,
,4,,0.98046875,,0.10593138635158539,,,,
,5,,0.98828125,,0.08356468379497528,,,,
,6,,0.984375,,0.14488187432289124,,,,
,7,,0.9855769276618958,,0.028404483571648598,,,,
5,1250,0.9879999756813049,,0.06415490806102753,,,,,
