epoch,loss_epoch,loss_step,step
0,,1.2775925397872925,49
0,,1.4641308784484863,99
0,4.335458755493164,,99
1,,1.9376856088638306,149
1,,1.585097074508667,199
1,1.3819003105163574,,199
2,,1.4834033250808716,249
2,,1.1367466449737549,299
2,1.3269070386886597,,299
3,,1.0229474306106567,349
3,,1.3027442693710327,399
3,1.3005497455596924,,399
4,,0.8539191484451294,449
4,,0.6035536527633667,499
4,0.9416101574897766,,499
5,,0.9814885854721069,549
5,,0.33691608905792236,599
5,0.5317496061325073,,599
6,,0.49839186668395996,649
6,,0.32541120052337646,699
6,0.5045616626739502,,699
7,,0.25969719886779785,749
7,,0.41781914234161377,799
7,0.5333718657493591,,799
8,,0.28437507152557373,849
8,,0.24651587009429932,899
8,0.5053440928459167,,899
9,,0.24882137775421143,949
9,,0.5727245807647705,999
9,0.5914708375930786,,999
10,,0.5638843774795532,1049
10,,0.47906577587127686,1099
10,0.41459205746650696,,1099
11,,0.628463864326477,1149
11,,0.2066335678100586,1199
11,0.5660746097564697,,1199
12,,0.9974855184555054,1249
12,,0.5866376161575317,1299
12,0.44934213161468506,,1299
13,,0.33843255043029785,1349
13,,0.13213348388671875,1399
13,0.4398767352104187,,1399
14,,0.20650649070739746,1449
14,,0.15201044082641602,1499
14,0.33827096223831177,,1499
15,,0.3632897138595581,1549
15,,0.8444124460220337,1599
15,0.49461719393730164,,1599
16,,0.708869218826294,1649
16,,0.67620849609375,1699
16,0.5399501919746399,,1699
17,,0.2844165563583374,1749
17,,0.5241514444351196,1799
17,0.5495097041130066,,1799
18,,0.31768083572387695,1849
18,,0.6598802804946899,1899
18,0.395508736371994,,1899
19,,0.12516915798187256,1949
19,,0.6242833137512207,1999
19,0.4951113760471344,,1999
20,,0.46079766750335693,2049
20,,0.5856810808181763,2099
20,0.6055418848991394,,2099
21,,0.3203308582305908,2149
21,,0.14479219913482666,2199
21,0.462812602519989,,2199
22,,0.1887352466583252,2249
22,,0.6041250228881836,2299
22,0.34906744956970215,,2299
23,,0.22057008743286133,2349
23,,0.22638940811157227,2399
23,0.3666439354419708,,2399
24,,0.4069463014602661,2449
24,,0.2275940179824829,2499
24,0.33946844935417175,,2499
25,,0.5446105003356934,2549
25,,0.3441711664199829,2599
25,0.4557686150074005,,2599
26,,0.1626662015914917,2649
26,,0.3117532730102539,2699
26,0.407716304063797,,2699
27,,0.37190282344818115,2749
27,,0.22179114818572998,2799
27,0.41123127937316895,,2799
28,,0.6332533359527588,2849
28,,0.26902925968170166,2899
28,0.3914972245693207,,2899
29,,0.46876347064971924,2949
29,,0.4535670280456543,2999
29,0.3947316110134125,,2999
30,,0.1751871109008789,3049
30,,0.18715298175811768,3099
30,0.25845858454704285,,3099
31,,0.8533967733383179,3149
31,,0.3863140344619751,3199
31,0.45909830927848816,,3199
32,,0.2899134159088135,3249
32,,0.1853475570678711,3299
32,0.4406167268753052,,3299
33,,0.25799858570098877,3349
33,,0.22448837757110596,3399
33,0.31366461515426636,,3399
34,,0.0419464111328125,3449
34,,0.9685839414596558,3499
34,0.3148885667324066,,3499
35,,0.6552697420120239,3549
35,,0.13982903957366943,3599
35,0.4154190719127655,,3599
36,,0.42302823066711426,3649
36,,0.22543799877166748,3699
36,0.30127236247062683,,3699
37,,0.3244434595108032,3749
37,,0.20193982124328613,3799
37,0.25884371995925903,,3799
38,,0.6392748355865479,3849
38,,0.5886726379394531,3899
38,0.352908730506897,,3899
39,,0.37648332118988037,3949
39,,0.11661410331726074,3999
39,0.4181510806083679,,3999
40,,0.2573413848876953,4049
40,,0.1598055362701416,4099
40,0.28425437211990356,,4099
41,,0.2392590045928955,4149
41,,0.40285229682922363,4199
41,0.33730006217956543,,4199
42,,0.11403214931488037,4249
42,,0.05842149257659912,4299
