epoch,loss_epoch,loss_step,step
0,,1.4421671628952026,49
0,,1.8863128423690796,99
0,4.555610656738281,,99
1,,1.8476238250732422,149
1,,1.1360284090042114,199
1,1.439613699913025,,199
2,,1.1409192085266113,249
2,,1.595727562904358,299
2,1.309170126914978,,299
3,,1.0716222524642944,349
3,,1.1084462404251099,399
3,1.2760136127471924,,399
4,,1.5939539670944214,449
4,,1.4333053827285767,499
4,1.3188551664352417,,499
5,,1.0429139137268066,549
5,,0.8791621923446655,599
5,1.205944538116455,,599
6,,0.38098835945129395,649
6,,1.1990938186645508,699
6,0.7241000533103943,,699
