epoch,loss_epoch,loss_step,step
0,,1.5297069549560547,49
0,,1.5606173276901245,99
0,5.048227310180664,,99
1,,1.949184536933899,149
1,,2.9138364791870117,199
1,1.4246264696121216,,199
2,,1.4175504446029663,249
2,,0.7106461524963379,299
2,1.4476215839385986,,299
3,,0.7901592254638672,349
3,,0.564378023147583,399
3,0.8787478804588318,,399
4,,1.722194790840149,449
4,,0.7357336282730103,499
4,0.8482092022895813,,499
5,,1.2208610773086548,549
5,,1.4452487230300903,599
5,0.5545897483825684,,599
6,,0.3219320774078369,649
6,,1.1182613372802734,699
6,0.5953989624977112,,699
7,,0.6003262996673584,749
7,,0.5435149669647217,799
7,0.724021852016449,,799
8,,0.7460849285125732,849
8,,0.23481488227844238,899
8,0.6657092571258545,,899
9,,0.5407586097717285,949
9,,0.2996082305908203,999
9,0.6147346496582031,,999
10,,0.33731377124786377,1049
10,,0.457916259765625,1099
10,0.4744464159011841,,1099
11,,0.6045548915863037,1149
11,,0.15282881259918213,1199
11,0.6227715015411377,,1199
12,,0.7410476207733154,1249
12,,0.5069272518157959,1299
12,0.6255393028259277,,1299
13,,0.2523154020309448,1349
13,,0.6171627044677734,1399
13,0.4667167663574219,,1399
14,,0.410882830619812,1449
14,,0.36883676052093506,1499
14,0.49511203169822693,,1499
15,,0.2572746276855469,1549
15,,1.6183197498321533,1599
15,0.7051199078559875,,1599
16,,0.900158166885376,1649
16,,0.9367917776107788,1699
16,0.525617778301239,,1699
17,,0.8421933650970459,1749
17,,0.10351383686065674,1799
17,0.5321789383888245,,1799
18,,0.4517902135848999,1849
18,,1.0887482166290283,1899
18,0.4260435104370117,,1899
19,,0.6159573793411255,1949
19,,0.5530005693435669,1999
19,0.5880745053291321,,1999
20,,0.6038131713867188,2049
20,,0.6623635292053223,2099
20,0.47107821702957153,,2099
21,,0.295518159866333,2149
21,,0.5448470115661621,2199
21,0.4317193329334259,,2199
22,,0.34276723861694336,2249
22,,0.15294313430786133,2299
22,0.42134392261505127,,2299
23,,0.5731946229934692,2349
23,,0.761306643486023,2399
23,0.37661170959472656,,2399
24,,0.11838114261627197,2449
24,,0.2311156988143921,2499
24,0.44155600666999817,,2499
25,,0.19928288459777832,2549
25,,0.4112340211868286,2599
25,0.3551809787750244,,2599
26,,0.864822506904602,2649
26,,0.1795971393585205,2699
26,0.3882872462272644,,2699
27,,0.18141567707061768,2749
27,,0.446308970451355,2799
27,0.3609822392463684,,2799
28,,0.4090404510498047,2849
28,,0.232025146484375,2899
28,0.3393296003341675,,2899
29,,0.19708216190338135,2949
29,,0.6342847347259521,2999
29,0.3972495198249817,,2999
30,,0.28399646282196045,3049
30,,0.2764164209365845,3099
30,0.36803725361824036,,3099
31,,0.8203668594360352,3149
31,,0.12178564071655273,3199
31,0.3690285384654999,,3199
32,,0.38891053199768066,3249
32,,0.5430111885070801,3299
32,0.424682080745697,,3299
33,,0.5134137868881226,3349
33,,0.22644448280334473,3399
33,0.254571795463562,,3399
34,,0.8487783670425415,3449
34,,0.25140082836151123,3499
34,0.32985737919807434,,3499
35,,0.3780949115753174,3549
35,,0.7534929513931274,3599
35,0.3095949590206146,,3599
36,,0.8281111717224121,3649
36,,0.16097092628479004,3699
36,0.37536850571632385,,3699
37,,0.12907075881958008,3749
37,,0.5835927724838257,3799
37,0.32924050092697144,,3799
38,,0.3828674554824829,3849
38,,0.09838998317718506,3899
38,0.28171780705451965,,3899
39,,0.15553545951843262,3949
39,,0.12390732765197754,3999
39,0.3030320405960083,,3999
40,,0.17963027954101562,4049
40,,0.29499077796936035,4099
40,0.3881051540374756,,4099
41,,0.1493239402770996,4149
41,,0.20909559726715088,4199
41,0.2676475942134857,,4199
42,,0.295437216758728,4249
42,,0.28729748725891113,4299
42,0.2570837438106537,,4299
43,,0.688573956489563,4349
43,,0.23191428184509277,4399
43,0.2957268953323364,,4399
44,,0.3064155578613281,4449
44,,0.44522547721862793,4499
44,0.2797151803970337,,4499
45,,0.20270037651062012,4549
45,,0.08010983467102051,4599
45,0.28749918937683105,,4599
46,,0.14286446571350098,4649
46,,0.35079705715179443,4699
46,0.21986334025859833,,4699
47,,0.30451762676239014,4749
47,,0.19169068336486816,4799
47,0.22989928722381592,,4799
48,,0.1908777952194214,4849
48,,0.11970508098602295,4899
48,0.24540290236473083,,4899
49,,0.11341118812561035,4949
49,,0.2045508623123169,4999
49,0.23786810040473938,,4999
50,,0.22377681732177734,5049
50,,0.11913895606994629,5099
50,0.23656721413135529,,5099
51,,0.06765782833099365,5149
51,,0.3524364233016968,5199
51,0.229990616440773,,5199
52,,0.27193963527679443,5249
52,,0.14519047737121582,5299
52,0.2575688660144806,,5299
53,,0.11327981948852539,5349
53,,0.1924896240234375,5399
53,0.22758989036083221,,5399
54,,0.1763688325881958,5449
54,,0.2315046787261963,5499
54,0.2478771060705185,,5499
55,,0.07112348079681396,5549
55,,0.17022085189819336,5599
55,0.17593540251255035,,5599
56,,0.20494139194488525,5649
56,,0.22360336780548096,5699
56,0.2547447681427002,,5699
57,,0.15622937679290771,5749
57,,0.23777544498443604,5799
57,0.29791009426116943,,5799
58,,0.1788400411605835,5849
58,,0.164664626121521,5899
58,0.2228371948003769,,5899
59,,0.14823949337005615,5949
59,,0.16392862796783447,5999
59,0.20165035128593445,,5999
60,,0.18415939807891846,6049
60,,0.16127407550811768,6099
60,0.20708051323890686,,6099
61,,0.06265723705291748,6149
61,,0.10294771194458008,6199
61,0.17183338105678558,,6199
62,,0.10964953899383545,6249
62,,0.0812692642211914,6299
62,0.16916286945343018,,6299
63,,0.41382062435150146,6349
63,,0.2157137393951416,6399
63,0.1830519288778305,,6399
64,,0.13895022869110107,6449
64,,0.1442476511001587,6499
64,0.1890937089920044,,6499
65,,0.2255408763885498,6549
65,,0.14807891845703125,6599
65,0.15000270307064056,,6599
66,,0.06744539737701416,6649
66,,0.33307933807373047,6699
66,0.1855771243572235,,6699
67,,0.10917496681213379,6749
67,,0.19615471363067627,6799
67,0.18005414307117462,,6799
68,,0.15676641464233398,6849
68,,0.12788677215576172,6899
68,0.17010150849819183,,6899
69,,0.10764002799987793,6949
69,,0.11151087284088135,6999
69,0.16472987830638885,,6999
70,,0.1827995777130127,7049
70,,0.10408532619476318,7099
70,0.2040311098098755,,7099
71,,0.17822515964508057,7149
71,,0.22224485874176025,7199
71,0.1636715680360794,,7199
72,,0.1173323392868042,7249
72,,0.10823273658752441,7299
72,0.1657462865114212,,7299
73,,0.18367397785186768,7349
73,,0.322562575340271,7399
73,0.1954948753118515,,7399
74,,0.10674679279327393,7449
74,,0.11422312259674072,7499
74,0.1612946093082428,,7499
75,,0.3008764982223511,7549
75,,0.1467207670211792,7599
75,0.19708886742591858,,7599
76,,0.19526350498199463,7649
76,,0.08671259880065918,7699
76,0.15541869401931763,,7699
77,,0.16057801246643066,7749
77,,0.17599594593048096,7799
77,0.16241177916526794,,7799
78,,0.2090015411376953,7849
78,,0.12774384021759033,7899
78,0.15298254787921906,,7899
79,,0.3141430616378784,7949
79,,0.23721611499786377,7999
79,0.26682808995246887,,7999
80,,0.16496515274047852,8049
80,,0.24072015285491943,8099
80,0.16720329225063324,,8099
81,,0.19740211963653564,8149
81,,0.281893253326416,8199
81,0.17596890032291412,,8199
82,,0.16773247718811035,8249
82,,0.0988607406616211,8299
