epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,49,,0.6910306215286255,,
0,99,,0.5501281023025513,,
0,149,,0.46667659282684326,,
0,199,,0.46327775716781616,,
0,249,,0.38044002652168274,,
0,299,,0.43319234251976013,,
0,349,,0.33517012000083923,,
0,399,,0.4514685571193695,,
0,449,,0.4268210530281067,,
0,499,,0.37182605266571045,,
0,549,,0.331737220287323,,
0,599,,0.3072109520435333,,
0,649,,0.2934524416923523,,
0,699,,0.28977376222610474,,
0,749,,0.29940930008888245,,
0,799,,0.2788771986961365,,
0,849,,0.31999456882476807,,
0,899,,0.29966476559638977,,
0,949,,0.3835088610649109,,
0,999,,0.3484863042831421,,
0,1049,,0.3400624096393585,,
0,1099,,0.41222840547561646,,
0,1149,,0.22635027766227722,,
0,1199,,0.30429238080978394,,
0,1249,,0.3629249334335327,,
0,1299,,0.28655463457107544,,
0,1349,,0.282248318195343,,
0,1399,,0.24473077058792114,,
0,1449,,0.37492603063583374,,
0,1499,,0.3079150915145874,,
0,1549,,0.3261633515357971,,
0,1599,,0.286726713180542,,
0,1649,,0.2991192936897278,,
0,1699,,0.2188456654548645,,
0,1749,,0.3513292074203491,,
0,1799,,0.36406588554382324,,
0,1849,,0.3026408553123474,,
0,1899,,0.3085693120956421,,
0,1949,,0.29318249225616455,,
0,1999,,0.3271963596343994,,
0,2049,,0.32126298546791077,,
0,2099,,0.3242310881614685,,
0,2149,,0.30192023515701294,,
0,2199,,0.26211148500442505,,
0,2249,,0.2936355173587799,,
0,2299,,0.2781713008880615,,
0,2349,,0.2668303847312927,,
0,2399,,0.3426815867424011,,
0,2449,,0.30668145418167114,,
0,2499,,0.28943318128585815,,
0,2549,,0.33467546105384827,,
0,2599,,0.30812397599220276,,
0,2649,,0.2215128093957901,,
0,2699,,0.2844701409339905,,
0,2749,,0.34894734621047974,,
0,2799,,0.2370692640542984,,
0,2849,,0.2711402177810669,,
0,2899,,0.2912341356277466,,
0,2949,,0.23173294961452484,,
0,2999,,0.3097628355026245,,
0,3049,,0.28135615587234497,,
0,3099,,0.3224666118621826,,
0,3149,,0.2491031438112259,,
0,3199,,0.2996419072151184,,
0,3249,,0.24356012046337128,,
0,3299,,0.3043639659881592,,
0,3349,,0.3380270004272461,,
0,3399,,0.21406395733356476,,
0,3449,,0.31718599796295166,,
0,3499,,0.2913012206554413,,
0,3549,,0.40364933013916016,,
0,3599,,0.30602848529815674,,
0,3649,,0.24820837378501892,,
0,3699,,0.2593050003051758,,
0,3749,,0.21309776604175568,,
0,3799,,0.3114432692527771,,
0,3849,,0.22967365384101868,,
0,3899,,0.2601451277732849,,
0,3949,,0.28617650270462036,,
0,3999,,0.19387543201446533,,
0,4049,,0.259918212890625,,
0,4099,,0.23458142578601837,,
0,4149,,0.30318284034729004,,
0,4199,,0.36749404668807983,,
0,4249,,0.24091921746730804,,
