epoch,loss_epoch,loss_step,step
0,,1.7556463479995728,49
0,,1.8541877269744873,99
0,4.601001262664795,,99
1,,1.020656704902649,149
1,,1.1293026208877563,199
1,1.3403583765029907,,199
2,,1.8392747640609741,249
2,,1.6736897230148315,299
2,1.3120012283325195,,299
3,,1.2910332679748535,349
3,,0.8780436515808105,399
3,1.2263365983963013,,399
4,,1.5065423250198364,449
4,,1.0082299709320068,499
4,0.8090611100196838,,499
5,,0.7577223777770996,549
5,,0.9142563343048096,599
5,0.8222527503967285,,599
6,,1.581997275352478,649
6,,0.5073579549789429,699
6,0.7996261119842529,,699
7,,0.6380259990692139,749
7,,0.5888731479644775,799
7,0.532688319683075,,799
8,,1.0488321781158447,849
8,,0.9942518472671509,899
8,0.7179409861564636,,899
9,,0.5787125825881958,949
9,,0.7224205732345581,999
9,0.45455479621887207,,999
10,,0.234732985496521,1049
10,,0.9344100952148438,1099
10,0.6872695088386536,,1099
11,,0.3485215902328491,1149
11,,0.524781346321106,1199
11,0.45940709114074707,,1199
12,,0.7908689975738525,1249
12,,0.5671114921569824,1299
12,0.6932549476623535,,1299
13,,0.9612537622451782,1349
13,,0.9673033952713013,1399
13,0.7188485860824585,,1399
14,,0.8466864824295044,1449
14,,0.8239748477935791,1499
14,0.47790226340293884,,1499
15,,0.30998408794403076,1549
15,,0.2794530391693115,1599
15,0.5146557092666626,,1599
16,,0.6835854053497314,1649
16,,0.48081910610198975,1699
16,0.4264547824859619,,1699
17,,0.52530837059021,1749
17,,0.8375493288040161,1799
17,0.4939057528972626,,1799
18,,0.2444828748703003,1849
18,,0.23168480396270752,1899
18,0.4240386188030243,,1899
19,,0.3233093023300171,1949
