epoch,loss_epoch,loss_step,step
0,,0.4968627691268921,49
0,,0.14090073108673096,99
0,0.5909246802330017,,99
1,,0.10802352428436279,149
1,,0.21081173419952393,199
1,0.14739806950092316,,199
2,,0.06554746627807617,249
2,,0.11981046199798584,299
2,0.13156740367412567,,299
3,,0.10435199737548828,349
3,,0.18170368671417236,399
3,0.13623939454555511,,399
4,,0.09387385845184326,449
4,,0.06953167915344238,499
4,0.11719276756048203,,499
5,,0.09527313709259033,549
5,,0.16996443271636963,599
5,0.11614231020212173,,599
6,,0.12272632122039795,649
6,,0.1058962345123291,699
6,0.0996541976928711,,699
7,,0.14622831344604492,749
7,,0.07506251335144043,799
7,0.0968610942363739,,799
8,,0.09963762760162354,849
8,,0.05716085433959961,899
8,0.09939342737197876,,899
9,,0.08220803737640381,949
9,,0.06577444076538086,999
9,0.09030889719724655,,999
10,,0.045593857765197754,1049
10,,0.07944440841674805,1099
10,0.08626554161310196,,1099
11,,0.09669899940490723,1149
11,,0.10245239734649658,1199
11,0.10316894203424454,,1199
12,,0.09080147743225098,1249
12,,0.1596693992614746,1299
12,0.09531139582395554,,1299
13,,0.0571894645690918,1349
13,,0.08888685703277588,1399
13,0.08896026015281677,,1399
14,,0.14230990409851074,1449
14,,0.06706774234771729,1499
14,0.09401232749223709,,1499
15,,0.0553431510925293,1549
15,,0.1569458246231079,1599
15,0.0874512568116188,,1599
16,,0.05478787422180176,1649
16,,0.06309854984283447,1699
16,0.08874379098415375,,1699
17,,0.20420050621032715,1749
17,,0.06270408630371094,1799
17,0.08858856558799744,,1799
18,,0.06524980068206787,1849
18,,0.10408079624176025,1899
18,0.08639304339885712,,1899
19,,0.09870195388793945,1949
19,,0.13981056213378906,1999
19,0.08372078090906143,,1999
20,,0.07968807220458984,2049
20,,0.08400583267211914,2099
20,0.10171739757061005,,2099
21,,0.10456550121307373,2149
