epoch,step,testBinaryAccuracy_epoch,testBinaryAccuracy_step,test_loss_epoch,test_loss_step,trainBinaryAccuracy_epoch,trainBinaryAccuracy_step,train_loss_epoch,train_loss_step
0,49,,,,,,1.0,,0.02847999520599842
0,99,,,,,,1.0,,0.008668793365359306
0,149,,,,,,1.0,,0.019452840089797974
0,199,,,,,,1.0,,0.004857763648033142
0,249,,,,,,1.0,,0.00552179804071784
0,249,,,,,0.9868749976158142,,0.04596012458205223,
1,299,,,,,,1.0,,0.0014060280518606305
1,349,,,,,,1.0,,0.0012598191387951374
1,399,,,,,,1.0,,0.0009618683252483606
1,449,,,,,,1.0,,0.00048728976980783045
1,499,,,,,,1.0,,0.00019969881395809352
1,499,,,,,1.0,,0.0011439765803515911,
2,549,,,,,,1.0,,0.00020529096946120262
2,599,,,,,,1.0,,0.00017843297973740846
2,649,,,,,,1.0,,3.103192284470424e-05
2,699,,,,,,1.0,,0.00010024325456470251
2,749,,,,,,1.0,,0.00014771398855373263
2,749,,,,,1.0,,0.0002604930195957422,
3,799,,,,,,1.0,,6.099291567807086e-05
3,849,,,,,,1.0,,8.368506678380072e-05
3,899,,,,,,1.0,,6.34672396699898e-05
3,949,,,,,,1.0,,3.744403147720732e-05
3,999,,,,,,1.0,,3.464587643975392e-05
3,999,,,,,1.0,,6.409889465430751e-05,
4,1049,,,,,,1.0,,1.7857288185041398e-05
4,1099,,,,,,1.0,,1.8502338434700505e-06
4,1149,,,,,,1.0,,3.362913957971614e-06
4,1199,,,,,,1.0,,1.2118923223169986e-05
4,1249,,,,,,1.0,,5.879165200894931e-06
4,1249,,,,,1.0,,1.4551521417160984e-05,
,0,,0.98828125,,0.05172434821724892,,,,
,1,,0.9921875,,0.024230964481830597,,,,
,2,,0.9921875,,0.031133268028497696,,,,
,3,,1.0,,3.86882275051903e-05,,,,
,4,,0.99609375,,0.03817969560623169,,,,
,5,,0.99609375,,0.06526753306388855,,,,
,6,,0.98828125,,0.0461394339799881,,,,
,7,,0.995192289352417,,0.028696374967694283,,,,
5,1250,0.9934999942779541,,0.03584380820393562,,,,,
