epoch,loss_epoch,loss_step,step
0,,1.4441157579421997,49
0,,1.3212684392929077,99
0,4.116564750671387,,99
1,,1.218949317932129,149
1,,0.8554651737213135,199
1,1.4136401414871216,,199
2,,1.343939185142517,249
2,,1.5393580198287964,299
2,1.2502896785736084,,299
3,,1.3576496839523315,349
3,,1.5089682340621948,399
3,1.22059965133667,,399
4,,0.33085763454437256,449
4,,2.559262752532959,499
4,0.7617737650871277,,499
5,,1.0346095561981201,549
5,,0.6386889219284058,599
5,1.1031080484390259,,599
6,,0.34368598461151123,649
6,,1.3443149328231812,699
6,0.665553867816925,,699
7,,0.23579096794128418,749
7,,0.3481987714767456,799
7,0.5906872749328613,,799
8,,0.7903938293457031,849
8,,0.20698583126068115,899
8,0.5468263030052185,,899
9,,0.3603416681289673,949
9,,0.4617438316345215,999
9,0.4617074131965637,,999
10,,0.16608238220214844,1049
10,,0.6649534702301025,1099
10,0.4913339912891388,,1099
11,,0.19492042064666748,1149
11,,0.560605525970459,1199
11,0.5111762881278992,,1199
12,,0.8578746318817139,1249
12,,0.20311760902404785,1299
12,0.3746001422405243,,1299
13,,0.24689900875091553,1349
13,,0.47544050216674805,1399
13,0.536716103553772,,1399
14,,0.5952485799789429,1449
14,,0.38002824783325195,1499
14,0.3609352111816406,,1499
15,,0.6319427490234375,1549
15,,0.3588066101074219,1599
15,0.530081570148468,,1599
16,,0.5979361534118652,1649
16,,0.7615257501602173,1699
16,0.4836661219596863,,1699
17,,0.23830461502075195,1749
17,,0.5121887922286987,1799
17,0.4477875530719757,,1799
18,,0.38848912715911865,1849
18,,0.14733469486236572,1899
18,0.4630424380302429,,1899
19,,0.316145658493042,1949
19,,0.23384475708007812,1999
19,0.37169474363327026,,1999
20,,0.44723689556121826,2049
20,,0.7697266340255737,2099
20,0.43059638142585754,,2099
21,,0.31726908683776855,2149
21,,0.49493348598480225,2199
21,0.4257323145866394,,2199
22,,0.46746814250946045,2249
22,,0.30238795280456543,2299
22,0.3544415533542633,,2299
23,,0.16405904293060303,2349
23,,0.17281079292297363,2399
23,0.37464192509651184,,2399
24,,0.6760687828063965,2449
24,,0.41286325454711914,2499
24,0.34286871552467346,,2499
25,,0.496396541595459,2549
