epoch,step,testBinaryAccuracy_epoch,testBinaryAccuracy_step,test_loss_epoch,test_loss_step,trainBinaryAccuracy_epoch,trainBinaryAccuracy_step,train_loss_epoch,train_loss_step
0,49,,,,,,1.0,,0.02459501475095749
0,99,,,,,,1.0,,0.012298144400119781
0,149,,,,,,1.0,,0.00889857579022646
0,199,,,,,,1.0,,0.005763990804553032
0,249,,,,,,1.0,,0.000703195168171078
0,249,,,,,0.9926249980926514,,0.04479605332016945,
1,299,,,,,,1.0,,0.0006570250261574984
1,349,,,,,,1.0,,0.0005288770771585405
1,399,,,,,,1.0,,0.0003381000133231282
1,449,,,,,,1.0,,0.000534925376996398
1,499,,,,,,1.0,,0.00029892183374613523
1,499,,,,,1.0,,0.0008413576288148761,
2,549,,,,,,1.0,,0.00025108468253165483
2,599,,,,,,1.0,,1.7430447769584134e-05
2,649,,,,,,1.0,,6.958815356483683e-05
2,699,,,,,,1.0,,1.4322170500236098e-05
2,749,,,,,,1.0,,3.007275881827809e-05
2,749,,,,,1.0,,0.00011244013148825616,
3,799,,,,,,1.0,,1.0330473742214963e-05
3,849,,,,,,1.0,,8.803141099633649e-06
3,899,,,,,,1.0,,1.2737984434352256e-05
3,949,,,,,,1.0,,8.747257197683211e-06
3,999,,,,,,1.0,,1.1924031241505872e-05
3,999,,,,,1.0,,2.31703797908267e-05,
4,1049,,,,,,1.0,,2.363050498388475e-06
4,1099,,,,,,1.0,,4.2746178223751485e-06
4,1149,,,,,,1.0,,1.1279814771114616e-06
4,1199,,,,,,1.0,,4.307464678277029e-06
4,1249,,,,,,1.0,,2.9470822937582852e-06
4,1249,,,,,1.0,,5.306054390530335e-06,
,0,,0.9921875,,0.04162178561091423,,,,
,1,,0.99609375,,0.05736037716269493,,,,
,2,,1.0,,0.002278654370456934,,,,
,3,,0.9921875,,0.00822187215089798,,,,
,4,,0.984375,,0.4871167838573456,,,,
,5,,0.984375,,0.057031091302633286,,,,
,6,,0.984375,,0.09021439403295517,,,,
,7,,0.995192289352417,,0.06404183059930801,,,,
5,1250,0.9909999966621399,,0.10187249630689621,,,,,
