epoch,step,train_between_image_disagreement_epoch,train_between_image_disagreement_step,train_within_image_disagreement_epoch,train_within_image_disagreement_step
87,2199,0.022422535344958305,,0.0026387644466012716,
88,2224,0.0217017512768507,,0.0023161345161497593,
89,2249,,0.015764601528644562,,0.0022960661444813013
89,2249,0.017041770741343498,,0.002426078077405691,
90,2274,0.02255815826356411,,0.0023747694212943316,
91,2299,,0.010464981198310852,,0.002401560079306364
91,2299,0.022127963602542877,,0.0024672956205904484,
92,2324,0.01939753256738186,,0.002728818915784359,
93,2349,,0.06249503418803215,,0.0024020434357225895
93,2349,0.02263277769088745,,0.002681584330275655,
94,2374,0.026283519342541695,,0.003033776069059968,
95,2399,,0.009698741137981415,,0.0021854452788829803
95,2399,0.021317338570952415,,0.002450020518153906,
96,2424,0.021335680037736893,,0.0025164445396512747,
97,2449,,0.015257302671670914,,0.002987832296639681
97,2449,0.027608085423707962,,0.0023280649911612272,
98,2474,0.03515041992068291,,0.003013522597029805,
99,2499,,0.029356375336647034,,0.0023046103306114674
99,2499,0.019382640719413757,,0.002610123250633478,
