epoch,step,testBinaryAccuracy_epoch,testBinaryAccuracy_step,test_loss_epoch,test_loss_step,trainBinaryAccuracy_epoch,trainBinaryAccuracy_step,train_loss_epoch,train_loss_step
0,49,,,,,,1.0,,0.019690580666065216
0,99,,,,,,1.0,,0.012772995978593826
0,149,,,,,,1.0,,0.015928884968161583
0,199,,,,,,1.0,,0.005294428206980228
0,249,,,,,,1.0,,0.001562757883220911
0,249,,,,,0.9919999837875366,,0.041530199348926544,
1,299,,,,,,1.0,,0.0011290840338915586
1,349,,,,,,1.0,,0.0007580937817692757
1,399,,,,,,1.0,,0.00035305783967487514
1,449,,,,,,1.0,,0.0003789235488511622
1,499,,,,,,1.0,,0.00011955278750974685
1,499,,,,,1.0,,0.0008129230118356645,
2,549,,,,,,1.0,,5.0058919441653416e-05
2,599,,,,,,1.0,,4.7116751375142485e-05
2,649,,,,,,1.0,,7.232469215523452e-05
2,699,,,,,,1.0,,2.212577237514779e-05
2,749,,,,,,1.0,,3.4813790989574045e-05
2,749,,,,,1.0,,0.00011508654279168695,
3,799,,,,,,1.0,,2.2914267901796848e-05
3,849,,,,,,1.0,,1.5337904187617823e-05
3,899,,,,,,1.0,,1.9456394511507824e-05
3,949,,,,,,1.0,,1.8188755348091945e-05
3,999,,,,,,1.0,,5.994868843117729e-06
3,999,,,,,1.0,,2.594387115095742e-05,
4,1049,,,,,,1.0,,1.2237355804245453e-06
4,1099,,,,,,1.0,,3.95598999602953e-06
4,1149,,,,,,1.0,,2.594784746179357e-06
4,1199,,,,,,1.0,,1.6284024013657472e-06
4,1249,,,,,,1.0,,2.810909563777386e-06
4,1249,,,,,1.0,,5.58832471142523e-06,
,0,,0.99609375,,0.01528854575008154,,,,
,1,,0.98828125,,0.07046405971050262,,,,
,2,,1.0,,0.0007874619332142174,,,,
,3,,0.98828125,,0.04624868184328079,,,,
,4,,0.99609375,,0.021163715049624443,,,,
,5,,0.98828125,,0.01779058575630188,,,,
,6,,0.984375,,0.03438271954655647,,,,
,7,,0.9807692170143127,,0.08905326575040817,,,,
5,1250,0.9904999732971191,,0.03564563766121864,,,,,
